#, Temperatur 1 (°C), Temperatur 2 (°C), Temperatur 3 (°C), Temperatur 4 (°C), Temperatur 5 (°C), Temperatur 6 (°C), Temperatur 7 (°C), Temperatur 8 (°C), Zeit (s)
1, 26.67, 26.47, 25.97, 25.65, 25.27, 25.46, 25.73, 26.55, 0.0000
2, 26.66, 26.50, 26.01, 25.66, 25.28, 25.53, 25.74, 26.54, 1.0000
3, 26.65, 26.61, 26.18, 25.66, 25.29, 25.86, 25.76, 26.53, 2.0000
4, 26.65, 26.86, 26.53, 25.66, 25.31, 26.47, 25.79, 26.52, 3.0000
5, 26.64, 27.25, 27.02, 25.66, 25.37, 27.25, 25.83, 26.52, 4.0000
6, 26.64, 27.74, 27.63, 25.67, 25.47, 28.10, 25.91, 26.51, 5.0000
7, 26.65, 28.29, 28.31, 25.69, 25.62, 29.03, 26.03, 26.50, 6.0000
8, 26.67, 28.90, 29.03, 25.72, 25.82, 29.96, 26.19, 26.50, 7.0000
9, 26.70, 29.55, 29.80, 25.76, 26.07, 30.89, 26.40, 26.49, 8.0000
10, 26.74, 30.22, 30.59, 25.83, 26.35, 31.80, 26.62, 26.49, 9.0000
11, 26.82, 30.91, 31.38, 25.91, 26.66, 32.69, 26.90, 26.48, 10.0000
12, 26.90, 31.57, 32.14, 26.02, 27.02, 33.55, 27.21, 26.47, 11.0000
13, 27.01, 32.25, 32.93, 26.14, 27.38, 34.38, 27.54, 26.46, 12.0000
14, 27.13, 32.93, 33.70, 26.28, 27.77, 35.18, 27.90, 26.46, 13.0000
15, 27.27, 33.58, 34.45, 26.44, 28.16, 35.95, 28.28, 26.45, 14.0000
16, 27.42, 34.22, 35.17, 26.61, 28.58, 36.70, 28.68, 26.45, 15.0000
17, 27.59, 34.85, 35.89, 26.80, 28.99, 37.40, 29.09, 26.45, 16.0000
18, 27.78, 35.46, 36.57, 27.00, 29.42, 38.09, 29.51, 26.44, 17.0000
19, 27.96, 36.05, 37.25, 27.21, 29.86, 38.76, 29.94, 26.44, 18.0000
20, 28.16, 36.63, 37.90, 27.43, 30.29, 39.39, 30.38, 26.44, 19.0000
21, 28.38, 37.19, 38.54, 27.66, 30.73, 40.01, 30.83, 26.44, 20.0000
22, 28.60, 37.73, 39.15, 27.90, 31.17, 40.60, 31.28, 26.44, 21.0000
23, 28.83, 38.26, 39.74, 28.14, 31.61, 41.17, 31.73, 26.44, 22.0000
24, 29.06, 38.77, 40.31, 28.40, 32.05, 41.73, 32.18, 26.44, 23.0000
25, 29.30, 39.26, 40.86, 28.65, 32.49, 42.26, 32.64, 26.44, 24.0000
26, 29.55, 39.75, 41.39, 28.91, 32.93, 42.78, 33.08, 26.44, 25.0000
27, 29.79, 40.21, 41.91, 29.18, 33.37, 43.28, 33.53, 26.45, 26.0000
28, 30.04, 40.66, 42.41, 29.44, 33.81, 43.77, 33.98, 26.45, 27.0000
29, 30.30, 41.10, 42.89, 29.71, 34.24, 44.24, 34.41, 26.46, 28.0000
30, 30.55, 41.52, 43.36, 29.98, 34.67, 44.69, 34.85, 26.47, 29.0000
31, 30.81, 41.92, 43.81, 30.25, 35.10, 45.14, 35.30, 26.47, 30.0000
32, 31.06, 42.33, 44.25, 30.52, 35.53, 45.58, 35.72, 26.48, 31.0000
33, 31.33, 42.71, 44.66, 30.79, 35.94, 46.00, 36.14, 26.49, 32.0000
34, 31.58, 43.09, 45.07, 31.06, 36.36, 46.42, 36.56, 26.51, 33.0000
35, 31.84, 43.45, 45.46, 31.33, 36.77, 46.81, 36.97, 26.52, 34.0000
36, 32.10, 43.80, 45.85, 31.61, 37.19, 47.21, 37.37, 26.53, 35.0000
