#, Temperatur 1 (°C), Temperatur 2 (°C), Temperatur 3 (°C), Temperatur 4 (°C), Temperatur 5 (°C), Temperatur 6 (°C), Temperatur 7 (°C), Temperatur 8 (°C), Zeit (s)
1, 18.17, 18.36, 19.06, 18.88, 17.63, 17.90, 19.31, 20.86, 0.0000
2, 18.22, 19.18, 20.11, 18.94, 17.81, 19.62, 19.45, 20.84, 5.0000
3, 18.40, 21.21, 22.46, 19.12, 18.63, 22.55, 20.09, 20.84, 10.0000
4, 18.83, 23.33, 24.86, 19.59, 19.89, 25.10, 21.22, 20.84, 15.0000
5, 19.47, 25.22, 26.95, 20.28, 21.29, 27.21, 22.59, 20.85, 20.0000
6, 20.25, 26.83, 28.74, 21.08, 22.73, 28.98, 24.01, 20.86, 25.0000
7, 21.08, 28.21, 30.24, 21.94, 24.13, 30.47, 25.39, 20.89, 30.0000
8, 21.93, 29.39, 31.50, 22.80, 25.47, 31.77, 26.69, 20.94, 35.0000
9, 22.77, 30.42, 32.56, 23.65, 26.74, 32.92, 27.88, 21.01, 40.0000
10, 23.59, 31.31, 33.46, 24.47, 27.95, 33.94, 28.97, 21.11, 45.0000
11, 24.38, 32.10, 34.24, 25.26, 29.07, 34.87, 29.95, 21.23, 50.0000
12, 25.15, 32.80, 34.91, 26.00, 30.12, 35.70, 30.83, 21.35, 55.0000
13, 25.89, 33.44, 35.50, 26.72, 31.10, 36.46, 31.62, 21.51, 60.0000
14, 26.59, 34.01, 36.02, 27.39, 32.01, 37.15, 32.33, 21.68, 65.0000
15, 27.27, 34.54, 36.48, 28.03, 32.85, 37.79, 32.96, 21.87, 70.0000
16, 27.92, 35.02, 36.90, 28.63, 33.64, 38.38, 33.53, 22.07, 75.0000
17, 28.54, 35.47, 37.26, 29.20, 34.37, 38.91, 34.03, 22.28, 80.0000
18, 29.14, 35.90, 37.61, 29.75, 35.05, 39.42, 34.50, 22.48, 85.0000
19, 29.71, 36.29, 37.94, 30.26, 35.69, 39.88, 34.93, 22.71, 90.0000
20, 30.26, 36.66, 38.23, 30.75, 36.27, 40.31, 35.31, 22.93, 95.0000
21, 30.78, 37.02, 38.51, 31.21, 36.82, 40.70, 35.65, 23.15, 100.0000
22, 31.28, 37.34, 38.76, 31.64, 37.32, 41.07, 35.98, 23.38, 105.0000
23, 31.76, 37.66, 39.00, 32.05, 37.80, 41.42, 36.27, 23.60, 110.0000
24, 32.23, 37.97, 39.23, 32.45, 38.25, 41.74, 36.53, 23.82, 115.0000
25, 32.67, 38.25, 39.44, 32.82, 38.66, 42.04, 36.78, 24.04, 120.0000
26, 33.09, 38.53, 39.65, 33.17, 39.05, 42.32, 37.01, 24.26, 125.0000
27, 33.50, 38.81, 39.84, 33.52, 39.42, 42.58, 37.23, 24.47, 130.0000
28, 33.89, 39.05, 40.03, 33.84, 39.76, 42.82, 37.42, 24.68, 135.0000
29, 34.27, 39.30, 40.21, 34.14, 40.07, 43.05, 37.61, 24.89, 140.0000
30, 34.63, 39.54, 40.38, 34.43, 40.37, 43.27, 37.78, 25.09, 145.0000
31, 34.97, 39.77, 40.54, 34.71, 40.66, 43.48, 37.95, 25.29, 150.0000
32, 35.31, 40.00, 40.71, 34.99, 40.93, 43.68, 38.11, 25.49, 155.0000
33, 35.63, 40.22, 40.85, 35.23, 41.19, 43.87, 38.25, 25.67, 160.0000
34, 35.94, 40.42, 41.01, 35.49, 41.43, 44.04, 38.39, 25.86, 165.0000
35, 36.24, 40.62, 41.15, 35.72, 41.66, 44.22, 38.54, 26.05, 170.0000
36, 36.53, 40.82, 41.30, 35.95, 41.88, 44.38, 38.67, 26.22, 175.0000
37, 36.80, 41.01, 41.43, 36.17, 42.08, 44.53, 38.79, 26.40, 180.0000
38, 37.08, 41.20, 41.55, 36.38, 42.27, 44.68, 38.91, 26.57, 185.0000
39, 37.33, 41.37, 41.68, 36.57, 42.47, 44.82, 39.02, 26.74, 190.0000
40, 37.59, 41.55, 41.81, 36.77, 42.65, 44.96, 39.14, 26.90, 195.0000
41, 37.83, 41.72, 41.93, 36.96, 42.82, 45.09, 39.25, 27.07, 200.0000
42, 38.06, 41.88, 42.05, 37.14, 42.99, 45.22, 39.35, 27.22, 205.0000
43, 38.30, 42.04, 42.16, 37.31, 43.14, 45.34, 39.45, 27.37, 210.0000
44, 38.51, 42.21, 42.28, 37.47, 43.29, 45.46, 39.56, 27.53, 215.0000
45, 38.73, 42.36, 42.39, 37.64, 43.43, 45.57, 39.66, 27.68, 220.0000
46, 38.94, 42.51, 42.50, 37.80, 43.57, 45.68, 39.75, 27.82, 225.0000
47, 39.14, 42.66, 42.61, 37.96, 43.71, 45.79, 39.85, 27.97, 230.0000
48, 39.34, 42.80, 42.72, 38.10, 43.84, 45.90, 39.94, 28.11, 235.0000
49, 39.52, 42.94, 42.82, 38.25, 43.97, 46.00, 40.03, 28.25, 240.0000
50, 39.71, 43.07, 42.92, 38.39, 44.10, 46.11, 40.13, 28.38, 245.0000
51, 39.89, 43.21, 43.02, 38.53, 44.22, 46.20, 40.21, 28.52, 250.0000
52, 40.07, 43.34, 43.12, 38.66, 44.34, 46.30, 40.30, 28.65, 255.0000
53, 40.24, 43.46, 43.22, 38.80, 44.45, 46.40, 40.39, 28.78, 260.0000
54, 40.41, 43.59, 43.31, 38.91, 44.57, 46.49, 40.45, 28.90, 265.0000
55, 40.57, 43.72, 43.41, 39.05, 44.68, 46.58, 40.55, 29.03, 270.0000
56, 40.73, 43.84, 43.50, 39.17, 44.78, 46.67, 40.64, 29.16, 275.0000
57, 40.89, 43.96, 43.60, 39.29, 44.89, 46.76, 40.72, 29.28, 280.0000
58, 41.04, 44.08, 43.69, 39.41, 44.99, 46.85, 40.80, 29.40, 285.0000
59, 41.19, 44.19, 43.78, 39.52, 45.09, 46.94, 40.89, 29.52, 290.0000
60, 41.33, 44.31, 43.86, 39.63, 45.19, 47.02, 40.97, 29.64, 295.0000
61, 41.48, 44.42, 43.95, 39.73, 45.28, 47.10, 41.04, 29.75, 300.0000
62, 41.61, 44.53, 44.04, 39.85, 45.38, 47.19, 41.13, 29.87, 305.0000
63, 41.75, 44.64, 44.13, 39.95, 45.47, 47.27, 41.21, 29.99, 310.0000
64, 41.88, 44.75, 44.21, 40.05, 45.56, 47.35, 41.29, 30.09, 315.0000
65, 42.02, 44.85, 44.30, 40.16, 45.65, 47.43, 41.37, 30.21, 320.0000
66, 42.14, 44.96, 44.38, 40.26, 45.75, 47.51, 41.44, 30.32, 325.0000
67, 42.26, 45.06, 44.47, 40.36, 45.83, 47.59, 41.52, 30.43, 330.0000
68, 42.38, 45.16, 44.55, 40.45, 45.92, 47.67, 41.61, 30.53, 335.0000
69, 42.51, 45.26, 44.63, 40.55, 46.00, 47.74, 41.68, 30.64, 340.0000
70, 42.62, 45.36, 44.71, 40.64, 46.09, 47.82, 41.76, 30.74, 345.0000
71, 42.74, 45.45, 44.79, 40.73, 46.17, 47.90, 41.84, 30.85, 350.0000
72, 42.85, 45.54, 44.87, 40.82, 46.25, 47.98, 41.91, 30.96, 355.0000
73, 42.97, 45.64, 44.95, 40.91, 46.34, 48.06, 41.99, 31.06, 360.0000
74, 43.07, 45.73, 45.02, 41.00, 46.42, 48.13, 42.06, 31.16, 365.0000
75, 43.18, 45.82, 45.10, 41.09, 46.50, 48.21, 42.14, 31.26, 370.0000
76, 43.28, 45.91, 45.18, 41.18, 46.58, 48.28, 42.22, 31.36, 375.0000
77, 43.39, 46.00, 45.25, 41.26, 46.66, 48.35, 42.30, 31.46, 380.0000
78, 43.49, 46.09, 45.33, 41.35, 46.74, 48.42, 42.37, 31.56, 385.0000
79, 43.59, 46.17, 45.40, 41.43, 46.82, 48.49, 42.45, 31.66, 390.0000
80, 43.69, 46.27, 45.48, 41.51, 46.89, 48.56, 42.53, 31.76, 395.0000
81, 43.79, 46.35, 45.55, 41.60, 46.97, 48.63, 42.60, 31.85, 400.0000
82, 43.89, 46.43, 45.62, 41.68, 47.05, 48.71, 42.67, 31.95, 405.0000
83, 43.98, 46.52, 45.70, 41.76, 47.12, 48.78, 42.74, 32.04, 410.0000
84, 44.07, 46.60, 45.77, 41.83, 47.19, 48.85, 42.82, 32.13, 415.0000
85, 44.17, 46.68, 45.84, 41.92, 47.27, 48.92, 42.89, 32.23, 420.0000
86, 44.26, 46.76, 45.91, 41.99, 47.34, 48.99, 42.97, 32.32, 425.0000
87, 44.35, 46.84, 45.98, 42.07, 47.41, 49.06, 43.04, 32.41, 430.0000
88, 44.44, 46.93, 46.05, 42.15, 47.48, 49.13, 43.11, 32.50, 435.0000
89, 44.52, 47.01, 46.12, 42.22, 47.56, 49.20, 43.18, 32.60, 440.0000
90, 44.61, 47.08, 46.19, 42.29, 47.63, 49.27, 43.26, 32.68, 445.0000
91, 44.69, 47.16, 46.26, 42.37, 47.70, 49.34, 43.33, 32.77, 450.0000
92, 44.78, 47.24, 46.33, 42.44, 47.77, 49.40, 43.40, 32.86, 455.0000
93, 44.86, 47.31, 46.40, 42.52, 47.85, 49.47, 43.47, 32.95, 460.0000
94, 44.94, 47.38, 46.47, 42.59, 47.92, 49.54, 43.54, 33.04, 465.0000
95, 45.02, 47.46, 46.54, 42.67, 47.99, 49.61, 43.62, 33.12, 470.0000
96, 45.10, 47.54, 46.61, 42.74, 48.06, 49.68, 43.69, 33.21, 475.0000
97, 45.18, 47.61, 46.67, 42.81, 48.12, 49.74, 43.76, 33.30, 480.0000
98, 45.26, 47.69, 46.74, 42.88, 48.19, 49.81, 43.83, 33.38, 485.0000
99, 45.34, 47.76, 46.81, 42.95, 48.26, 49.88, 43.90, 33.46, 490.0000
100, 45.42, 47.83, 46.87, 43.01, 48.33, 49.94, 43.97, 33.55, 495.0000
101, 45.49, 47.90, 46.93, 43.08, 48.39, 50.01, 44.03, 33.63, 500.0000
102, 45.57, 47.97, 47.00, 43.14, 48.46, 50.07, 44.11, 33.71, 505.0000
103, 45.64, 48.04, 47.07, 43.21, 48.52, 50.14, 44.18, 33.79, 510.0000
104, 45.72, 48.11, 47.13, 43.28, 48.60, 50.20, 44.25, 33.87, 515.0000
105, 45.79, 48.18, 47.20, 43.35, 48.66, 50.27, 44.32, 33.96, 520.0000
106, 45.86, 48.25, 47.26, 43.42, 48.73, 50.33, 44.39, 34.04, 525.0000
107, 45.93, 48.32, 47.33, 43.48, 48.79, 50.39, 44.45, 34.11, 530.0000
108, 46.00, 48.39, 47.39, 43.55, 48.85, 50.46, 44.52, 34.19, 535.0000
109, 46.07, 48.45, 47.45, 43.62, 48.92, 50.52, 44.59, 34.27, 540.0000
110, 46.14, 48.52, 47.52, 43.68, 48.98, 50.58, 44.66, 34.35, 545.0000
111, 46.21, 48.59, 47.58, 43.75, 49.04, 50.64, 44.73, 34.42, 550.0000
112, 46.28, 48.65, 47.65, 43.81, 49.10, 50.70, 44.80, 34.51, 555.0000
