f,U,a,b
20,0.600,1.000,36.00
30,0.600,1.000,24.00
40,0.580,0.900,18.00
50,0.570,0.900,14.60
60,0.560,0.900,12.20
70,0.520,0.850,10.40
80,0.520,0.850,9.20
90,0.500,0.800,8.20
100,0.480,0.800,7.20
200,0.320,0.580,3.60
300,0.230,0.440,2.40
400,0.180,0.360,1.80
500,0.145,0,300,1.44
600,0.120,0.255,1.20
700,0.105.0.225,1.04
800,0.090,0.200,0.90
900,0.082,0.180,0.80
1000,0.074,0.164,0.72
2000,0.037,0.085,0.36
3000,0.0185,0.058,0.24
4000,0.0110,0.044,0.18
6000,0.0075,0.0285,0.12
8000,0.0054,0.0225,0.09
10000,0.0044,0.0180,0.072
20000,0.0021,0.0092,0.0365
30000,0.0014,0.0063,0.0245
