#Beugung am Doppelspalt
#Abstand spalt zu schirm 85 cm
#Breite vom Spalt 0.1mm und 0.1mm abstand zwischen spalten 0.4mm
#x/mm, I_dunkel/nA, I/nA
0.0, 0.38, 10.0
2.0, 0.42, 14.0
4.0, 0.46, 9.8
6.0, 0.40, 7.8
8.0, 0.42, 16.0
10.0, 0.44, 24.0
11.0, 0.42, 20.0
12.0, 0.38, 18.0
13.0, 0.40, 42.0
14.0, 0.42, 92.0
15.0, 0.44, 120.0
16.0, 0.42, 100.0
17.0, 0.42, 58.0
18.0, 0.42, 34.0
19.0, 0.42, 56.0
20.0, 0.40, 140.0
20.5, 0.44, 780.0
21.0, 0.44, 430.0
21.5, 0.42, 1400.0
22.0, 0.44, 1100.0
22.5, 0.46, 2000.0
23.0, 0.42, 2600.0
23.5, 0.42, 2300.0
24.0, 0.40, 4600.0
24.5, 0.44, 2100.0
25.0, 0.44, 6300.0
25.5, 0.41, 2200.0
26.0, 0.40, 7000.0
26.5, 0.40, 2500.0
27.0, 0.44, 6000.0
27.5, 0.44, 2800.0
28.0, 0.40, 4200.0
28.5, 0.44, 2900.0
29.0, 0.42, 2400.0
29.5, 0.44, 2700.0
30.0, 0.46, 1100.0
31.0, 0.44, 520.0
32.0, 0.40, 210.0
33.0, 0.46, 90.0
34.0, 0.38, 50.0
35.0, 0.44, 110.0
36.0, 0.38, 200.0
37.0, 0.41, 240.0
38.0, 0.40, 180.0
39.0, 0.40, 100.0
40.0, 0.40, 46.0
42.0, 0.38, 41.0
44.0, 0.34, 34.0
46.0, 0.39, 19.0
48.0, 0.44, 13.0
50.0, 0.42, 20.0
