#, Temperatur 1 (°C), Temperatur 2 (°C), Temperatur 3 (°C), Temperatur 4 (°C), Temperatur 5 (°C), Temperatur 6 (°C), Temperatur 7 (°C), Temperatur 8 (°C), Zeit (s)
1, 26.30, 25.65, 24.95, 25.36, 24.63, 24.38, 25.38, 26.76, 0.0000
2, 26.28, 25.65, 24.96, 25.34, 24.62, 24.42, 25.36, 26.75, 1.0000
3, 26.26, 25.75, 25.11, 25.33, 24.59, 24.73, 25.35, 26.74, 2.0000
4, 26.24, 25.98, 25.44, 25.31, 24.60, 25.31, 25.35, 26.73, 3.0000
5, 26.22, 26.35, 25.92, 25.30, 24.63, 26.07, 25.37, 26.73, 4.0000
6, 26.21, 26.81, 26.50, 25.30, 24.71, 26.93, 25.42, 26.72, 5.0000
7, 26.20, 27.36, 27.17, 25.30, 24.84, 27.83, 25.52, 26.71, 6.0000
8, 26.21, 27.95, 27.89, 25.31, 25.02, 28.74, 25.66, 26.70, 7.0000
9, 26.23, 28.58, 28.63, 25.36, 25.25, 29.66, 25.84, 26.70, 8.0000
10, 26.27, 29.22, 29.40, 25.41, 25.52, 30.55, 26.05, 26.67, 9.0000
11, 26.33, 29.89, 30.17, 25.48, 25.82, 31.42, 26.30, 26.68, 10.0000
12, 26.40, 30.56, 30.95, 25.57, 26.14, 32.26, 26.59, 26.67, 11.0000
13, 26.50, 31.21, 31.70, 25.67, 26.49, 33.08, 26.90, 26.66, 12.0000
14, 26.60, 31.87, 32.46, 25.80, 26.85, 33.87, 27.24, 26.65, 13.0000
15, 26.73, 32.51, 33.19, 25.94, 27.23, 34.62, 27.60, 26.65, 14.0000
16, 26.87, 33.13, 33.91, 26.10, 27.63, 35.35, 27.98, 26.64, 15.0000
17, 27.03, 33.75, 34.60, 26.28, 28.03, 36.05, 28.37, 26.63, 16.0000
18, 27.20, 34.35, 35.28, 26.47, 28.44, 36.71, 28.77, 26.63, 17.0000
19, 27.38, 34.93, 35.94, 26.66, 28.86, 37.36, 29.18, 26.63, 18.0000
20, 27.58, 35.50, 36.59, 26.87, 29.27, 37.98, 29.60, 26.62, 19.0000
21, 27.78, 36.04, 37.20, 27.09, 29.69, 38.59, 30.03, 26.62, 20.0000
22, 27.99, 36.58, 37.80, 27.31, 30.12, 39.17, 30.46, 26.62, 21.0000
23, 28.20, 37.09, 38.39, 27.55, 30.55, 39.73, 30.90, 26.61, 22.0000
24, 28.42, 37.60, 38.94, 27.79, 30.98, 40.27, 31.33, 26.61, 23.0000
25, 28.65, 38.08, 39.49, 28.03, 31.40, 40.79, 31.77, 26.61, 24.0000
26, 28.88, 38.54, 40.02, 28.28, 31.83, 41.30, 32.20, 26.61, 25.0000
27, 29.12, 39.00, 40.52, 28.53, 32.25, 41.79, 32.64, 26.61, 26.0000
28, 29.36, 39.45, 41.02, 28.79, 32.67, 42.26, 33.07, 26.61, 27.0000
29, 29.61, 39.88, 41.49, 29.04, 33.09, 42.73, 33.50, 26.62, 28.0000
30, 29.85, 40.30, 41.95, 29.31, 33.51, 43.18, 33.92, 26.62, 29.0000
31, 30.09, 40.69, 42.39, 29.57, 33.93, 43.61, 34.34, 26.62, 30.0000
32, 30.35, 41.09, 42.82, 29.83, 34.33, 44.04, 34.76, 26.63, 31.0000
33, 30.59, 41.47, 43.23, 30.09, 34.74, 44.45, 35.16, 26.64, 32.0000
34, 30.84, 41.83, 43.63, 30.35, 35.15, 44.86, 35.57, 26.65, 33.0000
35, 31.09, 42.19, 44.03, 30.61, 35.55, 45.25, 35.97, 26.66, 34.0000
36, 31.34, 42.53, 44.39, 30.88, 35.96, 45.63, 36.37, 26.67, 35.0000
37, 31.59, 42.87, 44.76, 31.13, 36.35, 46.01, 36.75, 26.68, 36.0000
38, 31.85, 43.20, 45.11, 31.40, 36.74, 46.38, 37.13, 26.69, 37.0000
39, 32.09, 43.52, 45.45, 31.65, 37.13, 46.73, 37.51, 26.71, 38.0000
