#Beugung am Spalt
#Abstand spalt zu schirm 85 cm
#Breite vom Spalt 0.15mm
#x/mm, I_dunkel/nA, I/nA
0.0, 0.40, 5.5
2.0, 0.50, 5.6
4.0, 0.52, 7.8
6.0, 0.52, 7.5
8.0, 0.50, 6.1
10.0, 0.56, 12.0
11.0, 0.50, 15.5
12.0, 0.52, 11.5
13.0, 0.50, 14.1
14.0, 0.52, 32.1
15.0, 0.54, 54.0
16.0, 0.46, 41.1
17.0, 0.52, 26.0
18.0, 0.50, 73.5
19.0, 0.50, 160.0
20.0, 0.50, 120.0
20.5, 0.42, 72.0
21.0, 0.40, 32.5
21.5, 0.44, 82.0
22.0, 0.48, 420.0
22.5, 0.44, 900.0
23.0, 0.44, 2000.0
23.5, 0.48, 3400.0
24.0, 0.54, 5200.0
24.5, 0.54, 6600.0
25.0, 0.60, 7600.0
25.5, 0.66, 8000.0
26.0, 0.58, 8000.0
26.5, 0.56, 7300.0
27.0, 0.55, 6000.0
27.5, 0.52, 4800.0
28.0, 0.56, 3000.0
28.5, 0.55, 1820.0
29.0, 0.57, 820.0
29.5, 0.56, 340.0
30.0, 0.58, 120.0
31.0, 0.56, 240.0
32.0, 0.54, 325.0
33.0, 0.54, 180.0
34.0, 0.50, 39.0
35.0, 0.52, 56.5
36.0, 0.49, 100.0
37.0, 0.50, 78.0
38.0, 0.50, 20.0
39.0, 0.50, 17.0
40.0, 0.54, 39.0
42.0, 0.48, 30.0
44.0, 0.48, 26.0
46.0, 0.46, 14.0
48.0, 0.44, 10.0
50.0, 0.46, 14.5
